"year","agency_key","CESA","district_number","school_number","agency_type","school_type","charter","district_name","school_name","grade_label","total_enrollment_prek-12","number_female","percent_female","number_male","percent_male","number_am_ind","percent_am_ind","number_asian","percent_asian","number_black","percent_black","number_hispanic","percent_hispanic","number_white","percent_white"
"2000","33026","01","2450","","03","El/Sec    ","N","Arrowhead UHS","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","33026","01","2450","","03","Summary   ","N","Arrowhead UHS","","Grades PreK-12","1917",913,"47.626400                     ",1004,"52.373500                     ",2,"0.104300                      ",15,"0.782400                      ",2,"0.104300                      ",14,"0.730300                      ",1884,"98.278500                     "
"2000","31705","01","2450","0020","04","High      ","N","Arrowhead UHS","Arrowhead Hi","Grades PreK-12","1917",913,"47.626400                     ",1004,"52.373500                     ",2,"0.104300                      ",15,"0.782400                      ",2,"0.104300                      ",14,"0.730300                      ",1884,"98.278500                     "
"2000","33027","01","2460","","03","Elem      ","N","Hartland-Lakeside J3","","Elementary School Type/ Prek-12","827",414,"50.060400                     ",413,"49.939500                     ",5,"0.604500                      ",3,"0.362700                      ",6,"0.725500                      ",4,"0.483600                      ",809,"97.823400                     "
"2000","33027","01","2460","","03","Mid/Jr Hi ","N","Hartland-Lakeside J3","","Middle/Junior High School Type/ Prek-12","510",257,"50.392100                     ",253,"49.607800                     ",1,"0.196000                      ",2,"0.392100                      ",3,"0.588200                      ",6,"1.176400                      ",498,"97.647000                     "
"2000","33027","01","2460","","03","High      ","N","Hartland-Lakeside J3","","High School Type/ PreK-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","33027","01","2460","","03","El/Sec    ","N","Hartland-Lakeside J3","","Combined Elementary/Secondary School Type/ Prek-12","0",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            ",0,"--                            "
"2000","33027","01","2460","","03","Summary   ","N","Hartland-Lakeside J3","","Grades PreK-12","1337",671,"50.186900                     ",666,"49.813000                     ",6,"0.448700                      ",5,"0.373900                      ",9,"0.673100                      ",10,"0.747900                      ",1307,"97.756100                     "
"2000","31706","01","2460","0020","04","Elem      ","N","Hartland-Lakeside J3","North El","Grades PreK-12","257",124,"48.249000                     ",133,"51.750900                     ",1,"0.389100                      ",2,"0.778200                      ",1,"0.389100                      ",2,"0.778200                      ",251,"97.665300                     "
"2000","31707","01","2460","0040","04","Elem      ","N","Hartland-Lakeside J3","South El","Grades PreK-12","412",204,"49.514500                     ",208,"50.485400                     ",3,"0.728100                      ",1,"0.242700                      ",3,"0.728100                      ",2,"0.485400                      ",403,"97.815500                     "
